cycle,pc,if_pc,addr,hit,ml_busy,ml_done,pf_req,pf_addr,pf_accepted,pf_filled,pf_filled_addr,cache_stall,cache_pf_req,cache_pf_addr,pattern
6,8,20,0,0,0,0,0,0,0,0,0,1,0,0,1
9,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
16,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
23,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
30,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
37,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
44,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
51,8,24,0,1,0,0,0,0,0,0,0,0,0,0,2
57,32,48,0,1,0,0,0,0,0,0,0,0,0,0,2
59,40,52,4,0,1,0,0,0,0,0,0,1,0,0,2
62,40,56,4,1,1,0,0,0,0,0,0,0,0,0,2
63,48,60,4,1,1,0,0,0,0,0,0,0,0,0,2
64,48,64,4,1,1,0,0,0,0,0,0,0,0,0,3
71,32,48,0,1,1,0,0,0,0,0,0,0,0,0,2
73,40,56,4,1,1,0,0,0,0,0,0,0,0,0,2
75,48,60,8,0,1,0,0,0,0,0,0,1,0,0,2
78,48,64,8,1,1,0,0,0,0,0,0,0,0,0,3
85,32,48,0,1,1,0,0,0,0,0,0,0,0,0,2
87,40,56,4,1,1,0,0,0,0,0,0,0,0,0,2
89,48,64,8,1,1,0,0,0,0,0,0,0,0,0,3
95,72,88,0,1,1,0,0,0,0,0,0,0,0,0,3
97,80,92,16,0,1,0,0,0,0,0,0,1,0,0,3
100,80,96,16,1,1,0,0,0,0,0,0,0,0,0,3
101,88,100,16,1,1,0,0,0,0,0,0,0,0,0,3
102,88,104,16,1,1,0,0,0,0,0,0,0,0,0,3
104,96,108,12,0,1,0,0,0,0,0,0,1,0,0,0
107,96,112,12,1,1,0,0,0,0,0,0,0,0,0,0
113,72,88,12,1,1,0,0,0,0,0,0,0,0,0,3
115,80,92,28,0,1,0,0,0,0,0,0,1,0,0,3
118,80,96,28,1,1,0,0,0,0,0,0,0,0,0,3
119,88,100,28,1,1,0,0,0,0,0,0,0,0,0,3
120,88,104,28,1,1,0,0,0,0,0,0,0,0,0,3
122,96,108,24,0,1,0,0,0,0,0,0,1,0,0,0
125,96,112,24,1,1,0,0,0,0,0,0,0,0,0,0
131,72,88,24,1,1,0,0,0,0,0,0,0,0,0,3
133,80,92,40,0,1,0,0,0,0,0,0,1,0,0,3
136,80,96,40,1,1,0,0,0,0,0,0,0,0,0,3
137,88,100,40,1,1,0,0,0,0,0,0,0,0,0,3
138,88,104,40,1,1,0,0,0,0,0,0,0,0,0,3
140,96,108,36,0,1,0,0,0,0,0,0,1,0,0,0
143,96,112,36,1,1,0,0,0,0,0,0,0,0,0,0
149,72,88,36,1,1,0,0,0,0,0,0,0,0,0,3
151,80,92,52,0,1,0,0,0,0,0,0,1,0,0,3
154,80,96,52,1,1,0,0,0,0,0,0,0,0,0,3
155,88,100,52,1,1,0,0,0,0,0,0,0,0,0,3
156,88,104,52,1,1,0,0,0,0,0,0,0,0,0,3
158,96,108,48,0,1,0,0,0,0,0,0,1,0,0,0
161,96,112,48,1,1,0,0,0,0,0,0,0,0,0,0
167,72,88,48,1,1,0,0,0,0,0,0,0,0,0,3
169,80,92,64,0,1,0,0,0,0,0,0,1,0,0,3
172,80,96,64,1,1,0,0,0,0,0,0,0,0,0,3
173,88,100,64,1,1,0,0,0,0,0,0,0,0,0,3
174,88,104,64,1,1,0,0,0,0,0,0,0,0,0,3
176,96,108,60,0,1,0,0,0,0,0,0,1,0,0,0
179,96,112,60,1,1,0,0,0,0,0,0,0,0,0,0
185,72,88,60,1,1,0,0,0,0,0,0,0,0,0,3
187,80,92,76,0,1,0,0,0,0,0,0,1,0,0,3
190,80,96,76,1,1,0,0,0,0,0,0,0,0,0,3
191,88,100,76,1,1,0,0,0,0,0,0,0,0,0,3
192,88,104,76,1,1,0,0,0,0,0,0,0,0,0,3
194,96,108,72,0,1,0,0,0,0,0,0,1,0,0,0
197,96,112,72,1,1,0,0,0,0,0,0,0,0,0,0
203,72,88,72,1,1,0,0,0,0,0,0,0,0,0,3
205,80,92,88,0,1,0,0,0,0,0,0,1,0,0,3
208,80,96,88,1,1,0,0,0,0,0,0,0,0,0,3
209,88,100,88,1,1,0,0,0,0,0,0,0,0,0,3
210,88,104,88,1,1,0,0,0,0,0,0,0,0,0,3
212,96,108,84,0,1,0,0,0,0,0,0,1,0,0,0
215,96,112,84,1,1,0,0,0,0,0,0,0,0,0,0
221,72,88,84,1,1,0,0,0,0,0,0,0,0,0,3
223,80,92,100,0,1,0,0,0,0,0,0,1,0,0,3
226,80,96,100,1,1,0,0,0,0,0,0,0,0,0,3
227,88,100,100,1,1,0,0,0,0,0,0,0,0,0,3
228,88,104,100,1,1,0,0,0,0,0,0,0,0,0,3
230,96,108,96,0,1,0,0,0,0,0,0,1,0,0,0
233,96,112,96,1,1,0,0,0,0,0,0,0,0,0,0
239,72,88,96,1,1,0,0,0,0,0,0,0,0,0,3
241,80,92,112,0,1,0,0,0,0,0,0,1,0,0,3
244,80,96,112,1,1,0,0,0,0,0,0,0,0,0,3
245,88,100,112,1,1,0,0,0,0,0,0,0,0,0,3
246,88,104,112,1,1,0,0,0,0,0,0,0,0,0,3
248,96,108,108,0,1,0,0,0,0,0,0,1,0,0,0
251,96,112,108,1,1,0,0,0,0,0,0,0,0,0,0
257,72,88,108,1,1,0,0,0,0,0,0,0,0,0,3
259,80,92,124,0,1,0,0,0,0,0,0,1,0,0,3
262,80,96,124,1,1,0,0,0,0,0,0,0,0,0,3
263,88,100,124,1,1,0,0,0,0,0,0,0,0,0,3
264,88,104,124,1,1,0,0,0,0,0,0,0,0,0,3
266,96,108,120,0,1,0,0,0,0,0,0,1,0,0,0
269,96,112,120,1,1,0,0,0,0,0,0,0,0,0,0
275,72,88,120,1,1,0,0,0,0,0,0,0,0,0,3
277,80,92,136,0,1,0,0,0,0,0,0,1,0,0,3
280,80,96,136,1,1,0,0,0,0,0,0,0,0,0,3
281,88,100,136,1,1,0,0,0,0,0,0,0,0,0,3
282,88,104,136,1,1,0,0,0,0,0,0,0,0,0,3
284,96,108,132,0,1,0,0,0,0,0,0,1,0,0,0
287,96,112,132,1,1,0,0,0,0,0,0,0,0,0,0
293,72,88,132,1,1,0,0,0,0,0,0,0,0,0,3
295,80,92,148,0,1,0,0,0,0,0,0,1,0,0,3
298,80,96,148,1,1,0,0,0,0,0,0,0,0,0,3
299,88,100,148,1,1,0,0,0,0,0,0,0,0,0,3
300,88,104,148,1,1,0,0,0,0,0,0,0,0,0,3
302,96,108,144,0,1,0,0,0,0,0,0,1,0,0,0
305,96,112,144,1,1,0,0,0,0,0,0,0,0,0,0
311,72,88,144,1,1,0,0,0,0,0,0,0,0,0,3
313,80,92,160,0,1,0,0,0,0,0,0,1,0,0,3
316,80,96,160,1,1,0,0,0,0,0,0,0,0,0,3
317,88,100,160,1,1,0,0,0,0,0,0,0,0,0,3
318,88,104,160,1,1,0,0,0,0,0,0,0,0,0,3
