cycle,pc,addr,hit
8,16,0,0
9,20,0,0
12,20,0,1
19,20,0,1
26,20,4,0
29,20,4,1
36,20,4,1
43,20,8,0
46,20,8,1
53,20,8,1
60,20,12,0
63,20,12,1
70,20,12,1
77,20,16,0
80,20,16,1
87,20,16,1
94,20,20,0
97,20,20,1
104,20,20,1
111,20,24,0
114,20,24,1
121,20,24,1
128,20,28,0
131,20,28,1
138,20,28,1
145,20,32,0
148,20,32,1
155,20,32,1
162,20,36,0
165,20,36,1
172,20,36,1
179,20,40,0
182,20,40,1
189,20,40,1
196,20,44,0
199,20,44,1
206,20,44,1
213,20,48,0
216,20,48,1
223,20,48,1
230,20,52,0
233,20,52,1
240,20,52,1
247,20,56,0
250,20,56,1
257,20,56,1
264,20,60,0
267,20,60,1
274,20,60,1
281,20,64,0
284,20,64,1
291,20,64,1
298,20,68,0
301,20,68,1
308,20,68,1
315,20,72,0
318,20,72,1
325,20,72,1
332,20,76,0
335,20,76,1
342,20,76,1
349,20,80,0
352,20,80,1
359,20,80,1
366,20,84,0
369,20,84,1
376,20,84,1
383,20,88,0
386,20,88,1
393,20,88,1
400,20,92,0
403,20,92,1
410,20,92,1
417,20,96,0
420,20,96,1
427,20,96,1
434,20,100,0
437,20,100,1
444,20,100,1
451,20,104,0
454,20,104,1
461,20,104,1
468,20,108,0
471,20,108,1
478,20,108,1
485,20,112,0
488,20,112,1
495,20,112,1
