cycle,pc,addr,hit,ml_busy,ml_done,pf_req,pf_addr,pf_accepted,pf_filled,pf_filled_addr
7,12,0,0,0,0,0,0,0,0,0
199,36,0,0,0,0,0,0,0,0,0
202,36,0,1,0,0,0,0,0,0,0
632,1036,0,1,0,0,0,0,0,0,0
824,1060,0,1,0,0,0,0,0,0,0
1260,2060,0,1,0,0,0,0,0,0,0
1452,2084,0,1,0,0,0,0,0,0,0
1888,3084,0,1,0,0,0,0,0,0,0
2080,3108,0,1,0,0,0,0,0,0,0
2516,4108,0,1,1,0,0,0,0,0,0
2708,4132,0,1,1,0,0,0,0,0,0
3144,5132,0,1,1,0,0,0,0,0,0
3336,5156,0,1,1,0,0,0,0,0,0
3772,6156,0,1,1,0,0,0,0,0,0
3964,6180,0,1,1,0,0,0,0,0,0
4400,7180,0,1,1,0,0,0,0,0,0
4592,7204,0,1,1,0,0,0,0,0,0
4675,0,0,0,0,1,0,0,0,0,0
4676,0,0,0,0,0,1,32,0,0,0
4678,0,0,0,0,0,0,32,1,0,0
4680,0,0,0,0,0,0,32,0,1,32
5028,8204,0,1,0,0,0,32,0,0,32
5220,8228,0,1,1,0,0,32,0,0,32
5656,9228,0,1,1,0,0,32,0,0,32
5848,9252,0,1,1,0,0,32,0,0,32
6284,10252,0,1,1,0,0,32,0,0,32
6476,10276,0,1,1,0,0,32,0,0,32
6912,11276,0,1,1,0,0,32,0,0,32
7104,11300,0,1,1,0,0,32,0,0,32
7540,12300,0,1,1,0,0,32,0,0,32
7623,0,0,0,0,1,0,32,0,0,32
7624,0,0,0,0,0,1,36,0,0,32
7626,0,0,0,0,0,0,36,1,0,32
7628,0,0,0,0,0,0,36,0,1,36
7732,12324,0,1,0,0,0,36,0,0,36
