cycle,pc,addr,hit
8,00000016,00000000,0
9,00000020,00000000,0
12,00000020,00000000,1
19,00000020,00000000,1
26,00000020,00000004,0
29,00000020,00000004,1
36,00000020,00000004,1
43,00000020,00000008,0
46,00000020,00000008,1
53,00000020,00000008,1
60,00000020,00000012,0
63,00000020,00000012,1
70,00000020,00000012,1
77,00000020,00000016,0
80,00000020,00000016,1
87,00000020,00000016,1
94,00000020,00000020,0
97,00000020,00000020,1
104,00000020,00000020,1
111,00000020,00000024,0
114,00000020,00000024,1
121,00000020,00000024,1
128,00000020,00000028,0
131,00000020,00000028,1
138,00000020,00000028,1
145,00000020,00000032,0
148,00000020,00000032,1
155,00000020,00000032,1
162,00000020,00000036,0
165,00000020,00000036,1
172,00000020,00000036,1
179,00000020,00000040,0
182,00000020,00000040,1
189,00000020,00000040,1
196,00000020,00000044,0
199,00000020,00000044,1
206,00000020,00000044,1
213,00000020,00000048,0
216,00000020,00000048,1
223,00000020,00000048,1
230,00000020,00000052,0
233,00000020,00000052,1
240,00000020,00000052,1
247,00000020,00000056,0
250,00000020,00000056,1
257,00000020,00000056,1
264,00000020,00000060,0
267,00000020,00000060,1
274,00000020,00000060,1
281,00000020,00000064,0
284,00000020,00000064,1
291,00000020,00000064,1
298,00000020,00000068,0
301,00000020,00000068,1
308,00000020,00000068,1
315,00000020,00000072,0
318,00000020,00000072,1
325,00000020,00000072,1
332,00000020,00000076,0
335,00000020,00000076,1
342,00000020,00000076,1
349,00000020,00000080,0
352,00000020,00000080,1
359,00000020,00000080,1
366,00000020,00000084,0
369,00000020,00000084,1
376,00000020,00000084,1
383,00000020,00000088,0
386,00000020,00000088,1
393,00000020,00000088,1
400,00000020,00000092,0
403,00000020,00000092,1
410,00000020,00000092,1
417,00000020,00000096,0
420,00000020,00000096,1
427,00000020,00000096,1
434,00000020,00000100,0
437,00000020,00000100,1
444,00000020,00000100,1
451,00000020,00000104,0
454,00000020,00000104,1
461,00000020,00000104,1
468,00000020,00000108,0
471,00000020,00000108,1
478,00000020,00000108,1
485,00000020,00000112,0
488,00000020,00000112,1
495,00000020,00000112,1
